The list below shows every twentieth entry from the 100,000 word list (http://www.wordfrequency.info/100k.asp) that is
based on the 450 million word Corpus of Contemporary American English (COCA; http://corpus.byu.edu/coca).

These words are taken completely at random -- every twentieth word. No attempt has been made to "clean up" this particular list, 
beyond our regular correction efforts for all 100,000 words. While the list is not perfect, we would argue that it is much more 
accurate than any other 100,000 word list (see #4 at http://www.wordfrequency.info/100k_compare.asp).


This sample list shows just six pieces of information for each word (including the raw frequency in COCA* and the number of
texts in COCA that have the word#). The full list, on the other hand, includes more than 50 pieces of data, 
including the frequency  in other BYU corpora (http://corpus.byu.edu), such as BYU-BNC, COHA, and SOAP, as well as 
specific genres within these corpora, such as spoken, fiction, magazines, newspapers, and academic.



rank	freq*	texts#	word	lemma	PoS (part of speech; see http://ucrel.lancs.ac.uk/claws7tags.html)
51080	118	107	yesterdays	yesterday	nn2
51100	118	101	interdict	interdict	vv0
51120	118	95	fart	fart	vv0
51140	118	84	underpass	underpass	nn1
51160	118	64	cueing	cue	vvg
51180	118	33	metafictional	metafictional	jj
51200	117	114	salable	salable	jj
51220	117	111	dazzlingly	dazzlingly	rr
51240	117	107	partiality	partiality	nn1
51260	117	98	counterclockwise	counterclockwise	jj
51280	117	88	howitzer	howitzer	nn1
51300	117	79	pyrotechnic	pyrotechnic	jj
51320	117	68	croup	croup	nn1
51340	117	42	melanesian	melanesian	jj
51360	116	114	insulated	insulate	vvd
51380	116	111	rehabbing	rehab	vvg
51400	116	108	two-bit	two-bit	jj
51420	116	105	consolidations	consolidation	nn2
51440	116	99	pled	plead	vvn
51460	116	89	chaperones	chaperone	nn2
51480	116	81	daypack	daypack	nn1
51500	116	60	poststructuralism	poststructuralism	nn1
51520	115	114	reappeared	reappear	vvn
51540	115	112	journeyed	journey	vvn
51560	115	109	heavy-lidded	heavy-lidded	jj
51580	115	105	disconnects	disconnect	vvz
51600	115	100	systemically	systemically	rr
51620	115	95	co-executive	co-executive	jj
51640	115	82	bostonians	bostonian	nn2
51660	115	60	warfarin	warfarin	nn1
51680	114	113	toughened	toughen	vvd
51700	114	111	disconcertingly	disconcertingly	rr
51720	114	107	re-examining	re-examine	vvg
51740	114	103	billows	billow	vvz
51760	114	98	infiltrates	infiltrate	vvz
51780	114	88	actuaries	actuary	nn2
51800	114	77	visible-light	visible-light	jj
51820	114	58	dragoons	dragoon	nn2
51840	113	111	teemed	teem	vvd
51860	113	108	pruned	prune	vvd
51880	113	105	theoretician	theoretician	nn1
51900	113	103	bombardments	bombardment	nn2
51920	113	98	engraved	engrave	vvd
51940	113	91	third-seeded	third-seeded	jj
51960	113	78	anime	anime	nn1
51980	113	64	calcification	calcification	nn1
52000	113	32	maglev	maglev	jj
52020	112	109	underpaid	underpaid	jj
52040	112	107	hollowed	hollow	vvn
52060	112	105	mentored	mentor	vvd
52080	112	101	co-chairs	co-chair	nn2
52100	112	93	balkanization	balkanization	nn1
52120	112	84	fold-down	fold-down	jj
52140	112	71	skewness	skewness	nn1
52160	112	46	theism	theism	nn1
52180	111	108	slack-jawed	slack-jawed	jj
52200	111	106	ejecting	eject	vvg
52220	111	104	reexamining	reexamine	vvg
52240	111	99	levitating	levitate	vvg
52260	111	95	dotcom	dotcom	nn1
52280	111	91	tinderbox	tinderbox	nn1
52300	111	83	brown-haired	brown-haired	jj
52320	111	73	cross-contamination	cross-contamination	nn1
52340	111	62	neotropical	neotropical	jj
52360	111	20	residuum	residuum	nn1
52380	110	108	reminisces	reminisce	vvz
52400	110	106	now-familiar	now-familiar	jj
52420	110	102	palest	pale	jjt
52440	110	99	seaports	seaport	nn2
52460	110	96	reject	reject	nn1
52480	110	88	two-shot	two-shot	jj
52500	110	79	disassembly	disassembly	rr
52520	110	68	bondsman	bondsman	nn1
52540	110	33	irrigators	irrigator	nn2
52560	109	107	resonated	resonate	vvn
52580	109	105	masterminding	mastermind	vvg
52600	109	102	squeaks	squeak	vvz
52620	109	100	civilize	civilize	vv0
52640	109	96	trippy	trippy	jj
52660	109	92	tornados	tornado	nn2
52680	109	83	internists	internist	nn2
52700	109	74	councilor	councilor	nn1
52720	109	56	valance	valance	nn1
52740	108	108	quelled	quell	vvn
52760	108	105	feasted	feast	vvd
52780	108	103	ruminating	ruminate	vvg
52800	108	101	misdirected	misdirected	jj
52820	108	96	chauffeurs	chauffeur	nn2
52840	108	92	two-income	two-income	jj
52860	108	83	samplings	sampling	nn2
52880	108	71	refereed	refereed	jj
52900	108	49	mastoid	mastoid	nn1
52920	107	106	swathed	swathe	vvn
52940	107	104	sop	sop	vv0
52960	107	102	chucking	chuck	vvg
52980	107	100	hippest	hip	jjt
53000	107	96	scrunch	scrunch	vv0
53020	107	92	spring-fed	spring-fed	jj
53040	107	82	detonations	detonation	nn2
53060	107	74	full-term	full-term	jj
53080	107	60	refectory	refectory	nn1
53100	107	45	nativists	nativist	nn2
53120	106	105	pocketed	pocket	vvn
53140	106	103	jailing	jailing	nn1
53160	106	100	disowned	disown	vvn
53180	106	97	hosing	hose	vvg
53200	106	94	bitter	bitter	nn1
53220	106	89	high-velocity	high-velocity	jj
53240	106	79	snapdragons	snapdragon	nn2
53260	106	72	helm	helm	vv0
53280	106	61	midges	midge	nn2
53300	106	51	trawl	trawl	vv0
53320	106	25	eland	eland	nn1
53340	105	102	feels	feel	nn2
53360	105	101	quarterbacking	quarterbacking	nn1
53380	105	98	brim	brim	vv0
53400	105	94	father-daughter	father-daughter	jj
53420	105	89	handwoven	handwoven	jj
53440	105	82	mangos	mango	nn2
53460	105	73	red-pepper	red-pepper	jj
53480	105	56	apologetics	apologetics	nn2
53500	104	104	archrival	archrival	nn1
53520	104	100	pinpricks	pinprick	nn2
53540	104	96	get-rich-quick	get-rich-quick	jj
53560	104	93	kick-off	kick-off	nn1
53580	104	87	air-raid	air-raid	jj
53600	104	84	autoworkers	autoworker	nn2
53620	104	75	civilisation	civilisation	nn1
53640	104	61	lettered	lettered	jj
53660	104	51	gaffer	gaffer	nn1
53680	104	20	nucleon	nucleon	nn1
53700	103	101	jocular	jocular	jj
53720	103	99	hurtle	hurtle	vv0
53740	103	97	foretaste	foretaste	nn1
53760	103	93	middleclass	middleclass	jj
53780	103	86	sanitized	sanitize	vvn
53800	103	78	oracular	oracular	jj
53820	103	68	vespers	vespers	nn2
53840	103	53	methodism	methodism	nn1
53860	102	102	preposterously	preposterously	rr
53880	102	99	highfalutin	highfalutin	jj
53900	102	97	starker	stark	jjr
53920	102	95	image	image	vv0
53940	102	91	overnights	overnight	nn2
53960	102	85	laryngitis	laryngitis	nn1
53980	102	78	lobotomy	lobotomy	nn1
54000	102	69	beanstalk	beanstalk	nn1
54020	102	56	biomes	biome	nn2
54040	102	33	spatial-temporal	spatial-temporal	jj
54060	101	99	wanes	wane	vvz
54080	101	96	faxes	fax	vvz
54100	101	94	proffered	proffer	vvn
54120	101	92	troubleshoot	troubleshoot	vv0
54140	101	89	unabridged	unabridged	jj
54160	101	86	scams	scam	vvz
54180	101	80	recapitulation	recapitulation	nn1
54200	101	69	nonfarm	nonfarm	jj
54220	101	48	lymphocyte	lymphocyte	nn1
54240	100	98	ever-shifting	ever-shifting	jj
54260	100	96	shepherded	shepherd	vvn
54280	100	93	tapes	tape	vvz
54300	100	90	lower-middle	lower-middle	jj
54320	100	86	goodie	goodie	nn1
54340	100	80	brunettes	brunette	nn2
54360	100	72	rambler	rambler	nn1
54380	100	66	snakebite	snakebite	nn1
54400	100	48	e-business	e-business	jj
54420	100	33	transracial	transracial	jj
54440	99	97	saps	sap	vvz
54460	99	95	ricochet	ricochet	vv0
54480	99	93	aroused	aroused	jj
54500	99	91	walled	wall	vvd
54520	99	89	tuneup	tuneup	nn1
54540	99	85	mined	mined	jj
54560	99	81	readmitted	readmit	vvn
54580	99	73	blackjack	blackjack	vv0
54600	99	62	custards	custard	nn2
54620	99	48	rupee	rupee	nn1
54640	99	16	wash-out	wash-out	nn1
54660	98	95	five-page	five-page	jj
54680	98	94	scattershot	scattershot	jj
54700	98	91	shod	shoe	vvn
54720	98	88	four-and-a-half	four-and-a-half	mc
54740	98	85	hurdler	hurdler	nn1
54760	98	77	knife-edge	knife-edge	nn1
54780	98	70	multimodal	multimodal	jj
54800	98	62	scarification	scarification	nn1
54820	98	52	eurocentrism	eurocentrism	nn1
54840	98	14	trachoma	trachoma	nn1
54860	97	95	trendiest	trendy	jjt
54880	97	94	chagrined	chagrin	vvn
54900	97	92	billow	billow	vv0
54920	97	91	corroded	corrode	vvn
54940	97	87	groped	grope	vvn
54960	97	84	retouching	retouch	vvg
54980	97	79	fishmonger	fishmonger	nn1
55000	97	70	groomers	groomer	nn2
55020	97	64	malted	malted	jj
55040	97	54	flintlock	flintlock	nn1
55060	97	43	enculturation	enculturation	nn1
55080	96	94	encased	encase	vvd
55100	96	93	mouthed	mouth	vvn
55120	96	91	barrages	barrage	nn2
55140	96	88	muddled	muddle	vvn
55160	96	84	gripes	gripe	vvz
55180	96	80	stereotypic	stereotypic	jj
55200	96	76	soy-based	soy-based	jj
55220	96	70	bulgarian	bulgarian	nn1
55240	96	62	sport-specific	sport-specific	jj
55260	96	53	monasticism	monasticism	nn1
55280	96	22	post-training	post-training	jj
55300	95	93	bloomed	bloom	vvn
55320	95	90	refrains	refrain	vvz
55340	95	88	envying	envy	vvg
55360	95	87	socials	social	nn2
55380	95	82	picaresque	picaresque	jj
55400	95	78	spatulas	spatula	nn2
55420	95	73	neurobiologist	neurobiologist	nn1
55440	95	67	consumables	consumable	nn2
55460	95	60	hypochondria	hypochondria	nn1
55480	95	48	caddis	caddis	nn1
55500	95	26	sight-singing	sight-singing	jj
55520	94	92	undulated	undulate	vvd
55540	94	90	helter-skelter	helter-skelter	rr
55560	94	88	kindergartner	kindergartner	nn1
55580	94	86	cancelling	cancel	vvg
55600	94	82	jot	jot	nn1
55620	94	79	type-a	type-a	jj
55640	94	76	encirclement	encirclement	nn1
55660	94	71	emergent	emergent	nn1
55680	94	67	acupressure	acupressure	nn1
55700	94	54	scalability	scalability	nn1
55720	94	38	mortise	mortise	nn1
55740	93	92	badgered	badger	vvd
55760	93	91	haranguing	harangue	vvg
55780	93	89	blackboards	blackboard	nn2
55800	93	88	temptress	temptress	nn1
55820	93	87	screw-up	screw-up	nn1
55840	93	84	oldie	oldie	nn1
55860	93	82	barbells	barbell	nn2
55880	93	79	underneath	underneath	nn1
55900	93	74	indepth	indepth	jj
55920	93	69	crewmates	crewmate	nn2
55940	93	61	hedge-fund	hedge-fund	jj
55960	93	50	cartilaginous	cartilaginous	jj
55980	93	35	crystallography	crystallography	nn1
56000	92	91	potholed	potholed	jj
56020	92	89	hassling	hassle	vvg
56040	92	87	action-oriented	action-oriented	jj
56060	92	85	populist	populist	nn1
56080	92	81	self-incrimination	self-incrimination	nn1
56100	92	78	recouped	recoup	vvn
56120	92	73	iridescence	iridescence	nn1
56140	92	66	unalienable	unalienable	jj
56160	92	58	motorcar	motorcar	nn1
56180	92	41	flaxseeds	flaxseed	nn2
56200	91	91	pocked	pock	vvn
56220	91	88	unzipping	unzip	vvg
56240	91	86	vomits	vomit	vvz
56260	91	84	cleaving	cleave	vvg
56280	91	82	disassembling	disassemble	vvg
56300	91	78	haystacks	haystack	nn2
56320	91	74	contextualizing	contextualize	vvg
56340	91	68	horsemanship	horsemanship	nn1
56360	91	62	hysterectomies	hysterectomy	nn2
56380	91	48	hie	hie	vv0
56400	91	41	fasciitis	fasciitis	nn1
56420	91	13	self-instruction	self-instruction	jj
56440	90	88	selflessly	selflessly	rr
56460	90	86	salvos	salvo	nn2
56480	90	85	reawaken	reawaken	vv0
56500	90	81	waterless	waterless	jj
56520	90	77	allusive	allusive	jj
56540	90	71	voiding	void	vvg
56560	90	67	anesthesiology	anesthesiology	nn1
56580	90	59	wingman	wingman	nn1
56600	90	42	four-factor	four-factor	jj
56620	89	89	on-the-go	on-the-go	jj
56640	89	87	profligacy	profligacy	nn1
56660	89	85	shortchange	shortchange	vv0
56680	89	84	unemployable	unemployable	jj
56700	89	82	extricating	extricate	vvg
56720	89	79	match-up	match-up	jj
56740	89	76	funnies	funny	nn2
56760	89	73	meat-eating	meat-eating	jj
56780	89	67	sieges	siege	nn2
56800	89	61	morphologically	morphologically	rr
56820	89	51	pupa	pupa	nn1
56840	89	35	subtractive	subtractive	jj
56860	88	87	homespun	homespun	jj
56880	88	85	showdowns	showdown	nn2
56900	88	83	chart-topping	chart-topping	jj
56920	88	81	starless	starless	jj
56940	88	79	bended	bended	jj
56960	88	76	experientially	experientially	rr
56980	88	71	piranha	piranha	nn1
57000	88	66	capitalized	capitalized	jj
57020	88	62	oratorio	oratorio	nn1
57040	88	56	humorists	humorist	nn2
57060	88	50	bail-out	bail-out	jj
57080	88	35	acidophilus	acidophilus	nn1
57100	87	86	savaged	savage	vvd
57120	87	85	three-month-old	three-month-old	jj
57140	87	83	repositioned	reposition	vvn
57160	87	82	vagrant	vagrant	jj
57180	87	81	misanthropic	misanthropic	jj
57200	87	79	impudence	impudence	nn1
57220	87	77	overdosed	overdose	vvd
57240	87	74	aperitif	aperitif	nn1
57260	87	69	three-phase	three-phase	jj
57280	87	65	postelection	postelection	jj
57300	87	58	scrip	scrip	nn1
57320	87	51	half-breed	half-breed	nn1
57340	87	40	pegboard	pegboard	nn1
57360	86	86	sidling	sidle	vvg
57380	86	84	deflates	deflate	vvz
57400	86	83	hollow-eyed	hollow-eyed	jj
57420	86	82	falling-out	falling-out	nn1
57440	86	81	megalomaniac	megalomaniac	nn1
57460	86	78	hot-blooded	hot-blooded	jj
57480	86	76	armless	armless	jj
57500	86	73	defame	defame	vv0
57520	86	66	washtub	washtub	nn1
57540	86	60	univocal	univocal	jj
57560	86	55	contessa	contessa	nn1
57580	86	38	androgens	androgen	nn2
57600	86	9	intensional	intensional	jj
57620	85	83	sinfully	sinfully	rr
57640	85	81	sighed	sigh	vvn
57660	85	79	redeployed	redeploy	vvn
57680	85	78	hollowly	hollowly	rr
57700	85	75	washbasin	washbasin	nn1
57720	85	73	louts	lout	nn2
57740	85	68	chopstick	chopstick	nn1
57760	85	64	exhaled	exhaled	jj
57780	85	59	drunk-driving	drunk-driving	jj
57800	85	52	boatyard	boatyard	nn1
57820	85	43	polymorphisms	polymorphism	nn2
57840	85	15	chromolithograph	chromolithograph	nn1
57860	84	82	scandalously	scandalously	rr
57880	84	81	lull	lull	vv0
57900	84	80	tipoff	tipoff	nn1
57920	84	78	standalone	standalone	jj
57940	84	76	god-like	god-like	jj
57960	84	73	nine-hole	nine-hole	jj
57980	84	68	mutability	mutability	nn1
58000	84	65	marketeers	marketeer	nn2
58020	84	60	minion	minion	nn1
58040	84	51	atherosclerotic	atherosclerotic	jj
58060	84	37	trapezium	trapezium	nn1
58080	83	83	castigating	castigate	vvg
58100	83	81	pointlessly	pointlessly	rr
58120	83	79	squeezed	squeezed	jj
58140	83	78	self-regard	self-regard	nn1
58160	83	76	duty-bound	duty-bound	jj
58180	83	74	globalized	globalize	vvd
58200	83	72	nuclear-free	nuclear-free	jj
58220	83	69	pinheads	pinhead	nn2
58240	83	63	maladjusted	maladjusted	jj
58260	83	58	bugle	bugle	vv0
58280	83	48	personifications	personification	nn2
58300	83	35	nitride	nitride	nn1
58320	82	81	punished	punished	jj
58340	82	80	scoffed	scoff	vvn
58360	82	79	watchfulness	watchfulness	nn1
58380	82	77	lights-out	lights-out	jj
58400	82	75	well-studied	well-studied	jj
58420	82	72	abrogated	abrogate	vvn
58440	82	68	phlegmatic	phlegmatic	jj
58460	82	64	hillbillies	hillbilly	nn2
58480	82	61	chittering	chitter	vvg
58500	82	56	familiars	familiar	nn2
58520	82	49	borers	borer	nn2
58540	82	40	paratroops	paratroop	nn2
58560	82	17	salinities	salinity	nn2
58580	81	80	ruled	ruled	jj
58600	81	78	undone	undone	jj
58620	81	77	hurly-burly	hurly-burly	nn1
58640	81	76	illicitly	illicitly	rr
58660	81	74	sand-colored	sand-colored	jj
58680	81	73	atonal	atonal	jj
58700	81	71	million-member	million-member	jj
58720	81	69	scamming	scam	vvg
58740	81	67	footrest	footrest	nn1
58760	81	64	sweatsuit	sweatsuit	nn1
58780	81	58	eave	eave	nn1
58800	81	55	gook	gook	nn1
58820	81	49	home-schooling	home-schooling	jj
58840	81	41	sell-by	sell-by	jj
58860	81	31	gray-scale	gray-scale	jj
58880	80	79	get-up	get-up	nn1
58900	80	78	cozying	cozy	vvg
58920	80	77	vanishingly	vanishingly	rr
58940	80	76	canvass	canvass	vv0
58960	80	75	outscoring	outscore	vvg
58980	80	73	wholesale	wholesale	nn1
59000	80	71	pocked	pocked	jj
59020	80	67	archetypical	archetypical	jj
59040	80	64	sifted	sifted	jj
59060	80	60	composted	compost	vvd
59080	80	55	aryan	aryan	nn1
59100	80	48	precocity	precocity	nn1
59120	80	40	interspecific	interspecific	jj
59140	80	12	okapi	okapi	nn1
59160	79	77	pillowy	pillowy	jj
59180	79	77	oversimplifying	oversimplify	vvg
59200	79	76	copped	cop	vvd
59220	79	74	fungible	fungible	jj
59240	79	72	uplifted	uplifted	jj
59260	79	70	untaxed	untaxed	jj
59280	79	67	confectionery	confectionery	nn1
59300	79	65	businesswomen	businesswoman	nn2
59320	79	61	zoologists	zoologist	nn2
59340	79	56	bullfrogs	bullfrog	nn2
59360	79	51	pumas	puma	nn2
59380	79	44	regionalist	regionalist	jj
59400	79	32	natatorium	natatorium	nn1
59420	79	19	packinghouse	packinghouse	nn1
59440	78	77	tediously	tediously	rr
59460	78	76	undergirds	undergird	vvz
59480	78	75	disentangling	disentangle	vvg
59500	78	74	cases	case	vvz
59520	78	73	transposing	transpose	vvg
59540	78	71	recognitions	recognition	nn2
59560	78	69	anti-black	anti-black	jj
59580	78	68	gordian	gordian	jj
59600	78	65	forget-me-nots	forget-me-not	nn2
59620	78	62	prefatory	prefatory	jj
59640	78	57	intraoperatively	intraoperatively	rr
59660	78	51	anticoagulants	anticoagulant	nn2
59680	78	44	tartlets	tartlet	nn2
59700	78	35	item-total	item-total	jj
59720	78	23	helo	helo	nn1
59740	77	76	peeks	peek	nn2
59760	77	75	pulverizing	pulverize	vvg
59780	77	74	enticingly	enticingly	rr
59800	77	73	vacillated	vacillate	vvd
59820	77	72	boxlike	boxlike	jj
59840	77	71	transgressing	transgress	vvg
59860	77	69	four-wheeled	four-wheeled	jj
59880	77	66	slingshots	slingshot	nn2
59900	77	63	waked	wake	vvn
59920	77	60	lower-fat	lower-fat	jj
59940	77	56	briefers	briefer	nn2
59960	77	50	seaweeds	seaweed	nn2
59980	77	44	formalists	formalist	nn2
60000	77	33	capon	capon	nn1
60020	76	76	rock-strewn	rock-strewn	jj
60040	76	75	lambasted	lambast	vvn
60060	76	74	dupe	dupe	vv0
60080	76	72	chit-chat	chit-chat	nn1
60100	76	71	impinges	impinge	vvz
60120	76	70	inundating	inundate	vvg
60140	76	68	sensitized	sensitize	vvd
60160	76	66	swelter	swelter	vv0
60180	76	63	wet-in-wet	wet-in-wet	jj
60200	76	60	data-collection	data-collection	jj
60220	76	56	citronella	citronella	nn1
60240	76	51	lupines	lupine	nn2
60260	76	42	midfielders	midfielder	nn2
60280	76	33	nutraceuticals	nutraceutical	nn2
60300	76	16	ethnolinguistic	ethnolinguistic	jj
60320	75	74	mix-and-match	mix-and-match	jj
60340	75	73	rankled	rankle	vvn
60360	75	72	half-built	half-built	jj
60380	75	70	subsumes	subsume	vvz
60400	75	69	cluck	cluck	vv0
60420	75	68	commies	commie	nn2
60440	75	66	purrs	purr	nn2
60460	75	63	fratricide	fratricide	nn1
60480	75	60	sheathing	sheathe	vvg
60500	75	57	pinochle	pinochle	nn1
60520	75	52	opals	opal	nn2
60540	75	46	social-psychological	social-psychological	jj
60560	75	40	diagnosticians	diagnostician	nn2
60580	75	26	dba	dba	nn1
60600	74	74	dispersed	disperse	vvd
60620	74	72	conversed	converse	vvn
60640	74	71	disdain	disdain	vv0
60660	74	70	hearken	hearken	vv0
60680	74	68	pin-up	pin-up	nn1
60700	74	67	incandescence	incandescence	nn1
60720	74	65	waterskiing	waterskiing	nn1
60740	74	63	inch-wide	inch-wide	jj
60760	74	61	committeeman	committeeman	nn1
60780	74	58	pleasantness	pleasantness	nn1
60800	74	53	co-payment	co-payment	nn1
60820	74	49	personified	personified	jj
60840	74	43	accreting	accrete	vvg
60860	74	34	audiologic	audiologic	jj
60880	73	73	compartmentalized	compartmentalized	jj
60900	73	71	hamming	ham	vvg
60920	73	70	quirkiness	quirkiness	nn1
60940	73	69	self-preservation	self-preservation	jj
60960	73	68	crams	cram	vvz
60980	73	66	officiated	officiate	vvn
61000	73	64	sodomized	sodomize	vvn
61020	73	62	pseudoscience	pseudoscience	nn1
61040	73	61	nonworking	nonworking	jj
61060	73	58	archdiocesan	archdiocesan	jj
61080	73	56	male-oriented	male-oriented	jj
61100	73	52	delft	delft	nn1
61120	73	46	numeracy	numeracy	nn1
61140	73	38	schooled	schooled	jj
61160	73	30	leaver	leaver	nn1
61180	73	10	concilium	concilium	nn1
61200	72	71	vomited	vomit	vvn
61220	72	70	hatless	hatless	jj
61240	72	69	frilled	frilled	jj
61260	72	68	retched	retch	vvd
61280	72	67	incentivize	incentivize	vv0
61300	72	65	dozes	doze	vvz
61320	72	63	short-circuit	short-circuit	jj
61340	72	60	egghead	egghead	nn1
61360	72	59	tango	tango	vv0
61380	72	55	deferments	deferment	nn2
61400	72	51	velodrome	velodrome	nn1
61420	72	47	megapixels	megapixel	nn2
61440	72	41	windsurfers	windsurfer	nn2
61460	72	33	anti-hiv	anti-hiv	jj
61480	71	71	dishes	dish	vvz
61500	71	70	presages	presage	vvz
61520	71	69	lopping	lop	vvg
61540	71	68	transmute	transmute	vv0
61560	71	67	day-out	day-out	jj
61580	71	66	impale	impale	vv0
61600	71	64	cosponsors	cosponsor	nn2
61620	71	62	hindrances	hindrance	nn2
61640	71	61	disenfranchise	disenfranchise	vv0
61660	71	59	fast-drying	fast-drying	jj
61680	71	57	storyboard	storyboard	nn1
61700	71	53	sprayers	sprayer	nn2
61720	71	47	mixed-income	mixed-income	jj
61740	71	42	personalism	personalism	nn1
61760	71	35	noncustodial	noncustodial	jj
61780	71	24	ischaemia	ischaemia	nn1
61800	70	70	spiraled	spiral	vvn
61820	70	69	carpeted	carpet	vvd
61840	70	68	overpowers	overpower	vvz
61860	70	67	unproved	unproved	jj
61880	70	66	tear-stained	tear-stained	jj
61900	70	65	sub-zero	sub-zero	jj
61920	70	64	bookshops	bookshop	nn2
61940	70	63	hypocrisies	hypocrisy	nn2
61960	70	62	spigots	spigot	nn2
61980	70	59	soulmate	soulmate	nn1
62000	70	56	arteriosclerosis	arteriosclerosis	nn1
62020	70	52	dehydrate	dehydrate	vv0
62040	70	49	analysed	analyse	vvd
62060	70	47	tactility	tactility	nn1
62080	70	42	geriatrician	geriatrician	nn1
62100	70	37	seatings	seating	nn2
62120	70	20	subarachnoid	subarachnoid	jj
62140	69	69	irredeemably	irredeemably	rr
62160	69	68	resurrects	resurrect	vvz
62180	69	67	venturesome	venturesome	jj
62200	69	66	overrated	overrate	vvn
62220	69	65	offload	offload	vv0
62240	69	64	closeted	closet	vvn
62260	69	63	crescent	crescent	jj
62280	69	61	fledglings	fledgling	nn2
62300	69	60	all-round	all-round	jj
62320	69	58	aerodynamically	aerodynamically	rr
62340	69	56	ghosting	ghost	vvg
62360	69	53	dales	dale	nn2
62380	69	49	salvadoran	salvadoran	jj
62400	69	45	illiquid	illiquid	jj
62420	69	39	heli-skiing	heli-skiing	nn1
62440	69	32	nubians	nubian	nn2
62460	69	7	mesocosms	mesocosm	nn2
62480	68	67	melded	meld	vvn
62500	68	67	seven-story	seven-story	jj
62520	68	65	moth-eaten	moth-eaten	jj
62540	68	64	stashes	stash	vvz
62560	68	64	invalidates	invalidate	vvz
62580	68	63	seamanship	seamanship	nn1
62600	68	62	high-concept	high-concept	jj
62620	68	60	yes-or-no	yes-or-no	jj
62640	68	59	loveable	loveable	jj
62660	68	57	mimics	mimic	nn2
62680	68	55	pronunciations	pronunciation	nn2
62700	68	51	expensing	expense	vvg
62720	68	50	leaker	leaker	nn1
62740	68	47	pressurization	pressurization	nn1
62760	68	43	wiseguy	wiseguy	nn1
62780	68	38	temporomandibular	temporomandibular	jj
62800	68	31	astrolabe	astrolabe	nn1
62820	68	20	centenarian	centenarian	nn1
62840	67	67	lugged	lug	vvn
62860	67	66	peeves	peeve	nn2
62880	67	65	thirty-something	thirty-something	md
62900	67	64	misspelled	misspelled	jj
62920	67	63	better-quality	better-quality	jj
62940	67	62	phoniness	phoniness	nn1
62960	67	61	backpedal	backpedal	vv0
62980	67	59	hummocks	hummock	nn2
63000	67	57	yogurts	yogurt	nn2
63020	67	56	menfolk	menfolk	nn2
63040	67	54	abolishment	abolishment	nn1
63060	67	51	nonbeliever	nonbeliever	nn1
63080	67	48	hydride	hydride	nn1
63100	67	43	decongestant	decongestant	nn1
63120	67	40	webcams	webcam	nn2
63140	67	33	interconnects	interconnect	vvz
63160	67	22	colonisation	colonisation	nn1
63180	66	67	backed	backed	jj
63200	66	65	fleshing	flesh	vvg
63220	66	64	bloodcurdling	bloodcurdling	jj
63240	66	63	gather	gather	nn1
63260	66	61	searchingly	searchingly	rr
63280	66	60	ninth-grader	ninth-grader	nn1
63300	66	58	healed	healed	jj
63320	66	57	stuffiness	stuffiness	nn1
63340	66	54	punch-drunk	punch-drunk	jj
63360	66	51	dual-purpose	dual-purpose	jj
63380	66	48	parallelogram	parallelogram	nn1
63400	66	44	animistic	animistic	jj
63420	66	41	ziggurat	ziggurat	nn1
63440	66	36	reamer	reamer	nn1
63460	66	31	autocorrelation	autocorrelation	nn1
63480	66	10	smokejumpers	smokejumper	nn2
63500	65	64	retells	retell	vvz
63520	65	63	oddballs	oddball	nn2
63540	65	62	blabbing	blab	vvg
63560	65	62	sound-bite	sound-bite	jj
63580	65	60	cofounders	cofounder	nn2
63600	65	59	carry-out	carry-out	jj
63620	65	58	nondisclosure	nondisclosure	nn1
63640	65	55	pro-union	pro-union	jj
63660	65	53	drought-resistant	drought-resistant	jj
63680	65	51	tonalities	tonality	nn2
63700	65	48	consenting	consent	vvg
63720	65	44	veldt	veldt	nn1
63740	65	40	anglo-americans	anglo-american	nn2
63760	65	32	omicron	omicron	nn1
63780	65	26	aminoglycosides	aminoglycoside	nn2
63800	64	64	sumptuously	sumptuously	rr
63820	64	63	destabilized	destabilize	vvd
63840	64	62	half-million	half-million	mc
63860	64	61	five-piece	five-piece	jj
63880	64	61	uncoiling	uncoil	vvg
63900	64	60	scarily	scarily	rr
63920	64	59	chromed	chromed	jj
63940	64	58	tees	tee	vvz
63960	64	57	unpardonable	unpardonable	jj
63980	64	55	thirty-first	thirty-first	md
64000	64	52	filberts	filbert	nn2
64020	64	50	eliminations	elimination	nn2
64040	64	47	exurbs	exurb	nn2
64060	64	44	purifiers	purifier	nn2
64080	64	39	decryption	decryption	nn1
64100	64	35	sigmoidoscopy	sigmoidoscopy	nn1
64120	64	28	anthocyanins	anthocyanin	nn2
64140	64	16	phosphatidylserine	phosphatidylserine	nn1
64160	63	63	rosy-cheeked	rosy-cheeked	jj
64180	63	62	clouds	cloud	vvz
64200	63	61	nestled	nestled	jj
64220	63	61	accessorized	accessorize	vvd
64240	63	60	impaling	impale	vvg
64260	63	59	hightail	hightail	vv0
64280	63	58	spoons	spoon	vvz
64300	63	57	footed	footed	jj
64320	63	55	made-for-television	made-for-television	jj
64340	63	54	snuggle	snuggle	nn1
64360	63	52	solid-waste	solid-waste	jj
64380	63	49	hook-and-loop	hook-and-loop	jj
64400	63	46	cheerio	cheerio	uh
64420	63	42	pinecone	pinecone	nn1
64440	63	37	benzodiazepines	benzodiazepine	nn2
